10.240.0.240 - - [12/Sep/2016:04:18:32 +0000] "GET /WebContent-6-05-2016/assets/images/spr_menuButton.png HTTP/1.1" 200 2347 "https://max-and-jak-again-dscrivener.c9users.io/WebContent-6-05-2016/index.html" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.1.16 - - [12/Sep/2016:04:18:32 +0000] "GET /favicon.ico HTTP/1.1" 404 530 "https://max-and-jak-again-dscrivener.c9users.io/WebContent-6-05-2016/index.html" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.1.14 - - [12/Sep/2016:04:18:32 +0000] "GET /WebContent-6-05-2016/assets/images/light.png HTTP/1.1" 200 12389 "https://max-and-jak-again-dscrivener.c9users.io/WebContent-6-05-2016/index.html" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.157 - - [12/Sep/2016:04:18:32 +0000] "GET /WebContent-6-05-2016/assets/images/spr_jak.png HTTP/1.1" 200 472 "https://max-and-jak-again-dscrivener.c9users.io/WebContent-6-05-2016/index.html" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.213 - - [12/Sep/2016:04:18:32 +0000] "GET /WebContent-6-05-2016/assets/sounds/music.mp3 HTTP/1.1" 200 8388029 "https://max-and-jak-again-dscrivener.c9users.io/WebContent-6-05-2016/index.html" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.1.16 - - [12/Sep/2016:04:19:14 +0000] "GET / HTTP/1.1" 200 689 "https://ide.c9.io/dscrivener/max_and_jak-again" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.240 - - [12/Sep/2016:04:19:14 +0000] "GET /icons/blank.gif HTTP/1.1" 200 431 "https://max-and-jak-again-dscrivener.c9users.io/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.230 - - [12/Sep/2016:04:19:15 +0000] "GET /icons/folder.gif HTTP/1.1" 200 508 "https://max-and-jak-again-dscrivener.c9users.io/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.230 - - [12/Sep/2016:04:19:18 +0000] "GET / HTTP/1.1" 200 689 "https://ide.c9.io/dscrivener/max_and_jak-again" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36"
10.240.0.213 - - [12/Sep/2016:04:21:31 +0000] "GET /webcontent-6-05-2016/index.html HTTP/1.1" 404 549 "-" "Mozilla/5.0 (iPad; CPU OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1"
10.240.0.33 - - [12/Sep/2016:05:07:30 +0000] "GET / HTTP/1.1" 200 689 "-" "Mozilla/5.0 (Linux; Android 4.4.2; GT-I9197 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36"
